Referencia;Nombre;Categoria;Descripcion
2272;SOLDADURA PVC 1/128 ENAR;PEGANTES;1575
2299;SOQUET T8 UN;ELECTRICOS;
2301;SOSCO EXTENSION LAVAMANOS;GRIFERIA;1566
2315;SUPER BONDER 3 GRAMOS LOCTITE;PEGANTES;13846
3661;SUPER PEGA INTANTANEO 20G;PEGANTES;
2380;TAPON OIDO REUTILIZABLE TRIPLE BARRERA TRUPER;DOTACION INDUSTRIAL;14225
2446;TESTER CON CAIMAN TIPO ESFERO TRUPER;ELECTRICOS;13987Ideal para mediciÃ¯Â¿Â½n de corriente directa en baterÃ¯Â¿Â½as y circuitos de 12 V.Punta de acero.Mango de plÃ¯Â¿Â½stico transparente aislado para mayor seguridad con indicador de luz.Clip tipo pluma para portar en el bolsillo.Cable con caimÃ¯Â¿Â½n para tierra.
2450;THINNER EXTRAFINO 1 BOTELLA 750CC;PINTURAS Y DISOLVENTES;
3171;TIJERA PARA HOJALATERO PRETUL;HERRAMIENTA MANUAL;26052
2470;TINTE WENGUE 200 CC SUPER;PINTURAS Y DISOLVENTES;80
3565;TOALLITAS  COLORES BORDADA;ASEO;
2473;TOMA AEREA INDUSTRIAL 15 AMP  KONTIKI;ELECTRICOS;FT2
2476;TOMA DOBLE BLANCA MERCURY;ELECTRICOS;
2478;TOMA DOBLE P/T BLANCA DUOMO AVE;ELECTRICOS;35219
2483;TOMA SOBREPONER MULTIPLE 2-6 LITEWAY;ELECTRICOS;33278
2538;"TORNILLO CR RO ZINC 3/16X1/2""UN";TORNILLERIA;
2545;"TORNILLO CR RO ZINC 5/32X1""UN";TORNILLERIA;
2550;"TORNILLO CR RO ZINC 5/32X21/2""UN";TORNILLERIA;
2585;"TORNILLO DRYWALL 6X2"" UN";TORNILLERIA;
2588;"TORNILLO DRYWALL 6X21/2"" UN";TORNILLERIA;
2636;"TORNILLO HEX RO ZINC 1/2X2""UN";TORNILLERIA;
2639;"TORNILLO HEX RO ZINC 1/4X1""UN";TORNILLERIA;
2641;"TORNILLO HEX RO ZINC 1/4X11/2""UN";TORNILLERIA;
2647;"TORNILLO HEX RO ZINC 3/8X1""UN";TORNILLERIA;
2661;"TORNILLO HEX RO ZINC 5/16X11/4""UN";TORNILLERIA;
2666;"TORNILLO HEX RO ZINC 5/16X31/2""UN";TORNILLERIA;
2673;"TORNILLO HEX RO ZINC 7/16X11/2""UN";TORNILLERIA;
2674;"TORNILLO HEX RO ZINC 7/16X2""UN";TORNILLERIA;
2683C;"TORNILLO KLATH P/AGUDA 8X1/2""50";TORNILLERIA;
2685D;"TORNILLO KLATH P/BROCA 8X1/2""DOC";TORNILLERIA;
2745;"TORNILLO LAMINA 14X11/4"" UN";TORNILLERIA;
2767C;"TORNILLO LAMINA 6X1"" 50";TORNILLERIA;
2767;"TORNILLO LAMINA 6X1"" UN";TORNILLERIA;
2791;"TORNILLO LAMINA 8X11/4"" UN";TORNILLERIA;
2811;"TUBO CONDUIT SEMIPESADO 1/2""";TUBERIAS Y ACCESORIOS;3073
2919;"TUERCA HEX RO 1/2"" UN";TORNILLERIA;
2921D;"TUERCA HEX RO 1/4"" DOC";TORNILLERIA;
2921;"TUERCA HEX RO 1/4"" UN";TORNILLERIA;
2926;"TUERCA HEX RO 3/16"" UN";TORNILLERIA;
2929D;"TUERCA HEX RO 3/8"" DOC";TORNILLERIA;
2929;"TUERCA HEX RO 3/8"" UN";TORNILLERIA;
2934;"TUERCA HEX RO 5/32"" UN";TORNILLERIA;
2936D;"TUERCA HEX RO 7/16"" DOC";TORNILLERIA;
2936;"TUERCA HEX RO 7/16"" UN";TORNILLERIA;
2947;UNION 1/2 COBRE;TUBERIAS Y ACCESORIOS;1
2975;"UNION SANITARIO 11/2""";TUBERIAS Y ACCESORIOS;1141
3001;"VALVULA BOLA PVC 1"" SOLDAR GRIVAL";TUBERIAS Y ACCESORIOS;99861
3046;VIDRIO PARA CARETA NO 11;ABRASIVOS Y CONSUMIBLES;
3047;VIDRIO PARA CARETA NO 12;ABRASIVOS Y CONSUMIBLES;
3135;"VINIPEL-STRETCH 12"" X300MT";PEGANTES;
3136;"VINIPEL-STRETCH 20"" X300MT";PEGANTES;
3137;"VINIPEL-STRETCH 5"" X300MT";PEGANTES;
3147;WIN PLASTICO TRADICIONAL BEIGE 2.2MT;PERFILES Y WINES;WPTBE
3702;BROCA ACERO HSS 5/32 NICHOLSON;ABRASIVOS Y CONSUMIBLES;
3703;BROCA ACERO HSS 3/16 NICHOLSON;ABRASIVOS Y CONSUMIBLES;
3709;PIN CHAVETA 5/32 X 3/4, 1, 11/4 y 11/2;HERRAJES Y SOPORTES;
3710;PIN CHAVETA 1/8X 1, 11/4 y 11/2;HERRAJES Y SOPORTES;
6;"ABRAZADERA 10-06 TITAN 3/4""";HERRAJES Y SOPORTES;10511
7;"ABRAZADERA 10-08 TITAN 1""";HERRAJES Y SOPORTES;
8;"ABRAZADERA 10-16 TITAN 11/2""";HERRAJES Y SOPORTES;
3520;ABRAZADERA NAVIDEÃ¯Â¿Â½A;ABRASIVOS Y CONSUMIBLES;
3D;GRAPA PARA MANGUERA LUCES DOC +CLAVO;HERRAJES Y SOPORTES;
3;GRAPA.PARA MANGUERA LUCES UNIDAD + CLAVO;HERRAJES Y SOPORTES;
9;ABRAZADERA REF ACERO INOX AB - 10;HERRAJES Y SOPORTES;44235
10;ABRAZADERA REF ACERO INOX AB - 12;HERRAJES Y SOPORTES;44236
11;ABRAZADERA REF ACERO INOX AB - 16;HERRAJES Y SOPORTES;44237
12;ABRAZADERA REF ACERO INOX AB - 20;HERRAJES Y SOPORTES;44238
13;ABRAZADERA REF ACERO INOX AB - 24;HERRAJES Y SOPORTES;44239
14;ABRAZADERA REF ACERO INOX AB - 28;HERRAJES Y SOPORTES;44240
15;ABRAZADERA REF ACERO INOX AB - 36;HERRAJES Y SOPORTES;44242
16;ABRAZADERA REF ACERO INOX AB - 4;HERRAJES Y SOPORTES;44232
17;ABRAZADERA REF ACERO INOX AB - 44;HERRAJES Y SOPORTES;44244
18;ABRAZADERA REF ACERO INOX AB - 52;HERRAJES Y SOPORTES;44246
19;ABRAZADERA REF ACERO INOX AB - 60;HERRAJES Y SOPORTES;44248
20;ABRAZADERA REF ACERO INOX AB - 72;HERRAJES Y SOPORTES;44250
21;ABRAZADERA REF ACERO INOX AB - 8;HERRAJES Y SOPORTES;44234
22;ABRAZADERA REF ACERO INOX AB - 88;HERRAJES Y SOPORTES;44252
23;ABRAZADERA REF ACERO INOX AB - 7;HERRAJES Y SOPORTES;44256
24;ABRILLANTADOR DE LLANTAS 500ML FORTE;LUBRICANTES;41898
26;ACEITE 3 EN 1 ORIGINAL 90ML G;LUBRICANTES;14031
25;ACEITE 3 EN 1 ORIGINAL 30ML P;LUBRICANTES;14030
27;ACEITE 3 EN 1 AEROSOL 162ML 5,5 Oz;LUBRICANTES;41933
30;ACEITERA DE PIPETA FLEXIBLE 180 ML;HERRAMIENTA MANUAL;14870
31;ACEITERA DE PIPETA FLEXIBLE 300 ML;HERRAMIENTA MANUAL;14872
32;ACIDO MURIATICO 500 CC;ASEO;33425
33;ACIDO MURIATICO GALON;ASEO;33424
34;"ACOPLE RACOR BRONCE MACHO 1/2""";PARTES Y REPUESTOS;
35;ACOPLE FLEXIBLE BOCHERINI;GRIFERIA;YW262
36;"ACOPLE RACOR BRONCE HEMBRA 1/2""";PARTES Y REPUESTOS;
37;"ACOPLE RACOR HEMBRA BRONCE 1/4""";PARTES Y REPUESTOS;
1313;"ACOPLE HEMBRA RAPIDO 1/4""";ABRASIVOS Y CONSUMIBLES;IMCN1
3177;ACOPLE LAVAMANOS 40 CM GRIVAL;GRIFERIA;
38;ACOPLE LAVAMANOS CORTO ECO;GRIFERIA;
39;ACOPLE LAVAMANOS CORTO PLAST GRIFOS;GRIFERIA;2472
40;ACOPLE LAVAMANOS LARGO ECO;GRIFERIA;
41;ACOPLE LAVAMANOS LARGO PLAST GRIFOS;GRIFERIA;1598
42;ACOPLE LICUADORA MULTIMARCA;HOGAR Y COCINA;
43;ACOPLE LICUADORA OSTER COMPLETO;HOGAR Y COCINA;
44;ACOPLE LICUADORA OSTER CUADRANTE;HOGAR Y COCINA;
45;"ACOPLE RACOR MACHO BRONCE 1/4""";PARTES Y REPUESTOS;
1312;"ACOPLE MACHO RAPIDO 1/4""";ABRASIVOS Y CONSUMIBLES;IMCN0
46;ACOPLE RAPIDO COMPLETO;TUBERIAS Y ACCESORIOS;
47;ACOPLE RACOR RAPIDO GRIFO-MANGUERA TRUPER;GRIFERIA;12724
3178;ACOPLE SANITARIO 40 CM GRIVAL;GRIFERIA;
48;ACOPLE SANITARIO CORTO ECO;GRIFERIA;
49;ACOPLE SANITARIO CORTO PLAST GRIFOS;GRIFERIA;
