Nombre;Referencia;Categoria;Descripcion
DESTORNILLADOR ESTRELLA TATAMACO ENCAUCHETADO;894;HERRAMIENTA MANUAL;
DESTORNILLADOR TIPO RATCHET 13 PUNTAS PRETUL;3455;HERRAMIENTA MANUAL;22974
DESTORNILLADOR PALA 1/8 X 4 PRETUL;3321;HERRAMIENTA MANUAL;21486
DESTORNILLADOR 6 PUNTAS PRETUL;895;HERRAMIENTA MANUAL;21372
DIABLO ROJO;896;ASEO;
DIAFRAGMA FUSION BOCHERINI;897;GRIFERIA;R-GB2
DIAFRAGMA GOLD AUTO COMPLETO 120V BOCHERINI;898;GRIFERIA;R-11BS110
DIAFRAGMA GOLD SUPER AUROMATICA BOCHERINI;899;GRIFERIA;R-2B2ZS
DIAFRAGMA VICTORY BOCHERINI;900;GRIFERIA;R-7B2-V
DIAFRAGMA VICTORY COMPLETO 120V BOCHERINI;3180;GRIFERIA;R-22B120
DILATADORES DE BALDOSA 1MM-1.5MM X 100 UDUKE;901;HERRAJES Y SOPORTES;
DILATADORES DE BALDOSA 2MM X 100 UDUKE;902;HERRAJES Y SOPORTES;
DILATADORES DE BALDOSA 3MM X 100 UDUKE;903;HERRAJES Y SOPORTES;
"DISCO CORTE METAL 14"" X 1/8"" X 7/8""  PARA TRONZADORA DEWALT";906;ABRASIVOS Y CONSUMIBLES;8570
DISCO CORTE DIAMANTADO CONTINUO 4 1/2 TOOLS;907;ABRASIVOS Y CONSUMIBLES;
"DISCO CORTE DIAMANTADO SEGMENTADO 7"" TOOLS";910;ABRASIVOS Y CONSUMIBLES;
"DISCO CORTE DIAMANTADO SEGMENTADO 9"" TOOLS";911;ABRASIVOS Y CONSUMIBLES;
"DISCO CORTE METAL 7"" X 5/64"" X 7/8""  PRETUL";912;ABRASIVOS Y CONSUMIBLES;22346
"DISCO CORTE METAL 41/2"" X 1/16"" X 7/8"" PRETUL";913;ABRASIVOS Y CONSUMIBLES;22345
"DISCO CORTE METAL 9"" X 5/64"" X 7/8"" TRUPER";914;ABRASIVOS Y CONSUMIBLES;11587
"DISCO CORTE METAL 9"" X 5/64"" X 7/8"" PRETUL";915;ABRASIVOS Y CONSUMIBLES;22347
"DISCO CORTE METAL 9"" X 5/64"" X 7/8"" DEWALT";905;ABRASIVOS Y CONSUMIBLES;
"DISCO CORTE METAL 41/2"" X 1/16"" X 7/8"" BOSCH";918;ABRASIVOS Y CONSUMIBLES;24764
"DISCO CORTE METAL 7"" X 1/16"" X 7/8"" ABRACOL";920;ABRASIVOS Y CONSUMIBLES;73882
"DISCO CORTE METAL 14"" X 1/8"" X 7/8"" PARA TRONZADORA TRUPER";922;ABRASIVOS Y CONSUMIBLES;11567
"DISCO CORTE METAL 41/2"" PREMIER";3182;ABRASIVOS Y CONSUMIBLES;60 40%
"DISCO CORTE METAL 7"" X 1/16"" X 7/8"" BOSCH";3194;ABRASIVOS Y CONSUMIBLES;73882
"DISCO CORTE METAL 7"" X 5/64"" X 7/8"" TRUPER";923;ABRASIVOS Y CONSUMIBLES;10665
"DISCO CORTE METAL 7""X1/8""X7/8"" DEWALT";3331;PARTES Y REPUESTOS;40367
"DISCO CORTE METAL 9"" X 5/64"" X 7/8""  PREMIER";925;ABRASIVOS Y CONSUMIBLES;C1DC0030
"DISCO CORTE SIERRA 40 DIENTES 41/2"" TOOLS";926;ABRASIVOS Y CONSUMIBLES;
"DISCO CORTE SIERRA 40 DIENTES 7"" TOOLS";927;ABRASIVOS Y CONSUMIBLES;
"DISCO CORTE SIERRA 40 DIENTES 9"" VIGOR";928;ABRASIVOS Y CONSUMIBLES;
"DISCO DESBASTE METAL 41/2"" X 1/4"" X 7/8"" DEWALT";931;ABRASIVOS Y CONSUMIBLES;
"DISCO DESBASTE METAL 7"" X 1/4"" X 7/8"" DEWALT";932;ABRASIVOS Y CONSUMIBLES;
"DISCO DESBASTE METAL 7"" X 1/4"" X 7/8"" TRUPER";930;ABRASIVOS Y CONSUMIBLES;12567
"DISCO DESBASTE METAL 9"" X 1/4"" X 7/8""PREMIER";933;ABRASIVOS Y CONSUMIBLES;C1DP0004
"DISCO FLAP 40 41/2"" PRETUL";936;ABRASIVOS Y CONSUMIBLES;22350
"DISCO FLAP 60 4 1/2"" PRETUL";938;ABRASIVOS Y CONSUMIBLES;22351
"DISCO FLAP 80 4 1/2"" AZUL PORRAS";939;ABRASIVOS Y CONSUMIBLES;
"DISCO FLAP 80 4 1/2"" PRETUL";940;ABRASIVOS Y CONSUMIBLES;22352
"DISCO PIEDRA CORTE DIAMETRO 4"" X1/2"" TRUPER";3329;PARTES Y REPUESTOS;
"DISCO PIEDRA CORTE DIAMETRO 7"" X1/8"" TRUPER";3330;PARTES Y REPUESTOS;11566
"DISCO VELCRO 4 1/2"" N100";941;ABRASIVOS Y CONSUMIBLES;
"DISCO VELCRO 4 1/2"" N120";942;ABRASIVOS Y CONSUMIBLES;
"DISCO VELCRO 4 1/2"" N150";943;ABRASIVOS Y CONSUMIBLES;
"DISCO VELCRO 4 1/2"" N180";944;ABRASIVOS Y CONSUMIBLES;
"DISCO VELCRO 4 1/2"" N220";945;ABRASIVOS Y CONSUMIBLES;
"DISCO VELCRO 4 1/2"" N320";946;ABRASIVOS Y CONSUMIBLES;
"DISCO VELCRO 4 1/2"" N400";947;ABRASIVOS Y CONSUMIBLES;
"DISCO VELCRO 4 1/2"" N60";948;ABRASIVOS Y CONSUMIBLES;
"DISCO VELCRO 4 1/2"" N80";949;ABRASIVOS Y CONSUMIBLES;
DISPENSADOR DE INCRUSTAR DOSIFICADOR BOCHERINI;950;GRIFERIA;YW158
DISPENSADOR DE SHAMPOO BOCHERINI;951;GRIFERIA;DBC1B
DUCHA 3 TEMPERATURAS KONTIKI;952;GRIFERIA;
DUCHA ACRILICA CROMO PLASTGRIFOS;953;GRIFERIA;2671
DUCHA CALENTADOR DIRIGIBLE 120V KONTIKI;954;GRIFERIA;K002
DUCHA GOLD BLANCA 120V SM SELECTOR BOCHERINI;955;GRIFERIA;SM-1301110
DUCHA GOLD SUPER BLANCA CON MINIDUCHA BOCHERINI;956;GRIFERIA;2101110
DUCHA GOLD SUPER BLANCA SIN MINIDUCHA BOCHERINI;957;GRIFERIA;SM-2101110
DUCHA LAVACABEZAS RACOR KONTIKI;958;GRIFERIA;
DUCHA LAVAPLATOS PLASTCA ROSCA PLASTGRIFOS;959;GRIFERIA;187
DUCHA MAXI ZENT BLANCA 120V BOCHERINI;960;GRIFERIA;1801110
DUCHA PLASTICA BLANCA RIOPLAST;961;GRIFERIA;
DUCHA PREMIUM ZENT BLANCA 110V BOCHERINI;962;GRIFERIA;1101110
DUCHA PREMIUM ZENT SILVER O COLORES BOCHERINI;963;GRIFERIA;1108110
DUCHA VICTORY BLANCA 120V (con mini ducha) BOCHERINI;965;GRIFERIA;1201110 35%
DUCHA VICTORY BLANCA 120V SIN MINIDUCHA BOCHERINI;967;GRIFERIA;SM-1201110
DUCHA VICTORY BLANCA DIRIGIBLE SLIM 120V BOCHERINI;966;GRIFERIA;1201110S
DUCHA VICTORY SALON DE BELLEZA BOCHERINI;964;GRIFERIA;1201110SB
DUPLICADO DE LLAVE PARTIDA;3183;PERFILES Y WINES;
DUPLICADO DE LLAVE 3005;970;CERRAJERIA Y SEGURIDAD;
DUPLICADO DE LLAVE MOTIVO;971;CERRAJERIA Y SEGURIDAD;
DUPLICADO DE LLAVE VEHICULO;968;CERRAJERIA Y SEGURIDAD;
FILTRO ECONOMIZADOR ABS CROMADO BOCHERINI;972;GRIFERIA;EPC
FILTRO ECONOMIZADOR METALICO  BOCHERINI;973;GRIFERIA;EMC
ELECTRODO LOZA;974;ELECTRICOS;
EMBOLO PARA ARBOL DE ENTRADA;3264;GRIFERIA;
EMBUDO PLASTICO 250ML;975;HERRAMIENTA MANUAL;11205
EMBUDO PLASTICO FLEXIBLE 500ML;976;HERRAMIENTA MANUAL;11207
"EMPAQUE AD DE 1""";977;GRIFERIA;BOLSA
EMPAQUE BASE LICUADORA OSTER;978;HOGAR Y COCINA;
EMPAQUE BASE LICUADORA SAMURAI;979;HOGAR Y COCINA;
"EMPAQUE CANASTILLA 2""";980;GRIFERIA;BOLSA
"EMPAQUE CANASTILLA 4"" LAVPLATOS";981;GRIFERIA;
EMPAQUE CANASTILLA GRICOL;982;GRIFERIA;BOLSA
EMPAQUE CONO DELGADO CISTERNA;983;GRIFERIA;BOLSA
EMPAQUE CONO GRUESO CISTERNA;984;GRIFERIA;BOLSA
EMPAQUE CONO GRUESO GRIVAL;985;GRIFERIA;
EMPAQUE GAS TAIWANES;986;GRIFERIA;
EMPAQUE KIT CUELLO GANZO;987;GRIFERIA;BOLSA
EMPAQUE KIT CUELLO GANZO GRIVAL;988;GRIFERIA;BOLSA
EMPAQUE KIT ESTOPERO;989;GRIFERIA;BOLSA
EMPAQUE KIT MONOCONTROL;990;GRIFERIA;BOLSA
"EMPAQUE LLAVE 1/2""";991;GRIFERIA;
"EMPAQUE LLAVE 3/4""";992;GRIFERIA;
"EMPAQUE LLAVE 3/8""";993;GRIFERIA;
EMPAQUE LLAVE 3/8 CONICO;994;GRIFERIA;
EMPAQUE LLAVE LAVAMANOS AD 1/2;995;GRIFERIA;BOLSA
DISPONIBLE;996;GRIFERIA;
EMPAQUE PESTAï¿½A LAVAMANOS;997;GRIFERIA;BOLSA
EMPAQUE PISTOLA NEGRO;998;PINTURAS Y DISOLVENTES;2509
EMPAQUE MANGUERA PARA RACOR  COLOR / NEGRO;999;GRIFERIA;
EMPAQUE PISTOLA SAGOLI;1000;PINTURAS Y DISOLVENTES;
"EMPAQUE SIFON 11/2"" INTEGRAL";1001;GRIFERIA;BOLSA
"EMPAQUE SIFON 11/4"" INTEGRAL";1002;GRIFERIA;BOLSA
EMPAQUE SIFON BOTELLA;1003;GRIFERIA;BOLSA
"EMULSION ASFALTICA 1/4""";1004;CONSTRUCCION;33267
EMULSION ASFALTICA 1G;1005;CONSTRUCCION;2278
EMULSION ASFALTICA 3.5 K SIKA;1006;CONSTRUCCION;12230
EMULSION ASFALTICA 5G CANECA;1007;CONSTRUCCION;
ENCENDEDOR BRIKE ELECTRONICO;1469;HERRAMIENTA ELECTRICA;
ENCENDEDOR BRIKE PIEDRA;3261;HERRAMIENTA ELECTRICA;
ENCENDEDOR CHISPERO MANUAL;1008;HERRAMIENTA MANUAL;19271
ENTREPAï¿½O METALICO SB10;1009;HERRAJES Y SOPORTES;
ENTREPAï¿½O PLASTICO 1/4 CAFE Y BLANCO;1010;HERRAJES Y SOPORTES;
ENTREPAï¿½O PLASTICO 3/16 CAFE Y BLANCO;1011;HERRAJES Y SOPORTES;
ENVASE NEGRO 1/32 PLASTICO;1013;PINTURAS Y DISOLVENTES;
ENVASE NEGRO 1/4 PLASTICO;1012;PINTURAS Y DISOLVENTES;
ENVASE NEGRO 1/8 PLASTICO;1014;PINTURAS Y DISOLVENTES;
EPOXIMIL SOLDADURA EN FRIO 98GM LOCTITE;1015;PEGANTES;20117
ESCALERA TIPO TIJERA 5 PELDAï¿½OS 0.11M3;3532;HERRAMIENTA MANUAL;16743
ESCOBA METALICA 22 DIENTES CURVA TRUPER;1016;HERRAMIENTA MANUAL;14322
ESCOBA VENECIA MANGO MADERA;3291;ASEO;
ESCOBILLAS  MEDIANAS;3328;TUBERIAS Y ACCESORIOS;UHRP12
ESCOBILLAS GRANDES;3327;PARTES Y REPUESTOS;
"ESCUADRA CANTONERA 2"" X 2""";3599;HERRAMIENTA ELECTRICA;41039
"ESCUADRA CANTONERA 3""X 3""";3600;HERRAMIENTA ELECTRICA;41041
"ESCUADRA CARPINTERO 10"" 25CM  TRUPER";1017;HERRAMIENTA MANUAL;14374
"ESCUADRA CARPINTERO 8"" 20CM TRUPER";1018;HERRAMIENTA MANUAL;14372
"ESCUADRA DE COMBINACION 12"" TRUPER";3541;HERRAMIENTA MANUAL;14380
ESCUADRA REFUERZO ZINC C14 1.1/4;1019;HERRAJES Y SOPORTES;12345
ESCUADRA REFUERZO ZINC C14 11/2;1023;HERRAJES Y SOPORTES;12346
"ESCUADRA REFUERZO ZINC C14 2""";3294;HERRAJES Y SOPORTES;12347
ESCUADRA REFUERZO ZINC C14 2.1/2;1020;HERRAJES Y SOPORTES;12348
ESCUADRA REFUERZO ZINC C14 3;1021;HERRAJES Y SOPORTES;12349
ESCUADRA REFUERZO ZINC C14 4;1022;HERRAJES Y SOPORTES;12350
ESCUADRA REFUERZO ZINC C16 1/2;3511;HERRAJES Y SOPORTES;43983
ESCUADRA REFUERZO ZINC C16 3/4;1024;HERRAJES Y SOPORTES;12344
LIBRE;1025;CERRAJERIA Y SEGURIDAD;
ESCUDO PLASTICO BLANCO;1026;GRIFERIA;
ESCUDO REGISTRO DUCHA TIPO G;1027;GRIFERIA;
ESMALTE ALUMINIO MEZCLA 1 GALON SUPER;1032;PINTURAS Y DISOLVENTES;99
ESMALTE ALUMINIO MEZCLA 1/2 G SUPER;1028;PINTURAS Y DISOLVENTES;99
ESMALTE ALUMINIO MEZCLA 1/32 G SUPER;1029;PINTURAS Y DISOLVENTES;99
ESMALTE ALUMINIO MEZCLA 1/4 G SUPER;1030;PINTURAS Y DISOLVENTES;99
ESMALTE ALUMINIO MEZCLA 1/8 G SUPER;1031;PINTURAS Y DISOLVENTES;99
ESMALTE BLANCO MATE 1 GALON SUPER;1037;PINTURAS Y DISOLVENTES;113
ESMALTE BLANCO MATE 1/2 G SUPER;1033;PINTURAS Y DISOLVENTES;113
ESMALTE BLANCO MATE 1/32 G SUPER;1034;PINTURAS Y DISOLVENTES;113
ESMALTE BLANCO MATE 1/4 G SUPER;1035;PINTURAS Y DISOLVENTES;113
ESMALTE BLANCO MATE 1/8 G SUPER;1036;PINTURAS Y DISOLVENTES;113
ESMALTE DOMESTICO BLANCO 1 GALON;2420;PINTURAS Y DISOLVENTES;10014381
ESMALTE DOMESTICO MATE SS BLANCO 1 GALON;1038;PINTURAS Y DISOLVENTES;10014429
ESMALTE DOMESTICO MATE SS NEGRO 1 GALON;3415;PINTURAS Y DISOLVENTES;100162772 30%
ESMALTE EXPERTO AMARILLO 1 GAL0N SUPER;1043;PINTURAS Y DISOLVENTES;306
ESMALTE EXPERTO AMARILLO 1/2 G SUPER;1039;PINTURAS Y DISOLVENTES;306
ESMALTE EXPERTO AMARILLO 1/32 G SUPER;1040;PINTURAS Y DISOLVENTES;306
ESMALTE EXPERTO AMARILLO 1/4 G SUPER;1041;PINTURAS Y DISOLVENTES;306
ESMALTE EXPERTO AMARILLO 1/8 G SUPER;1042;PINTURAS Y DISOLVENTES;306
ESMALTE EXPERTO AZUL 1 GALON SUPER;1048;PINTURAS Y DISOLVENTES;308
ESMALTE EXPERTO AZUL 1/2 G SUPER;1044;PINTURAS Y DISOLVENTES;308
ESMALTE EXPERTO AZUL 1/32 G SUPER;1045;PINTURAS Y DISOLVENTES;308
ESMALTE EXPERTO AZUL 1/4 G SUPER;1046;PINTURAS Y DISOLVENTES;308
ESMALTE EXPERTO AZUL 1/8 G SUPER;1047;PINTURAS Y DISOLVENTES;308
ESMALTE EXPERTO BLANCO 1 GALON SUPER;1053;PINTURAS Y DISOLVENTES;301
ESMALTE EXPERTO BLANCO 1/2 G SUPER;1049;PINTURAS Y DISOLVENTES;301
ESMALTE EXPERTO BLANCO 1/32 G SUPER;1050;PINTURAS Y DISOLVENTES;301
ESMALTE EXPERTO BLANCO 1/8 G SUPER;1052;PINTURAS Y DISOLVENTES;301
ESMALTE EXPERTO CAOBA 1 GALON SUPER;1058;PINTURAS Y DISOLVENTES;312
ESMALTE EXPERTO CAOBA 1/2 G SUPER;1054;PINTURAS Y DISOLVENTES;312
ESMALTE EXPERTO CAOBA 1/32 G SUPER;1055;PINTURAS Y DISOLVENTES;312
ESMALTE EXPERTO CAOBA 1/4 G SUPER;1056;PINTURAS Y DISOLVENTES;312
ESMALTE EXPERTO CAOBA 1/8 G SUPER;1057;PINTURAS Y DISOLVENTES;312
ESMALTE EXPERTO NARANJA 1 GALON SUPER;1063;PINTURAS Y DISOLVENTES;
ESMALTE EXPERTO NARANJA 1/2 G SUPER;1059;PINTURAS Y DISOLVENTES;
ESMALTE EXPERTO NARANJA 1/32 G SUPER;1060;PINTURAS Y DISOLVENTES;
ESMALTE EXPERTO NARANJA 1/4 G SUPER;1061;PINTURAS Y DISOLVENTES;
ESMALTE EXPERTO NARANJA 1/8 G SUPER;1062;PINTURAS Y DISOLVENTES;
ESMALTE EXPERTO NEGRO 1 GALON SUPER;1068;PINTURAS Y DISOLVENTES;304
ESMALTE EXPERTO NEGRO 1/2 G SUPER;1064;PINTURAS Y DISOLVENTES;304
ESMALTE EXPERTO NEGRO 1/32 G SUPER;1065;PINTURAS Y DISOLVENTES;304
ESMALTE EXPERTO NEGRO 1/4 G SUPER;1066;PINTURAS Y DISOLVENTES;304
ESMALTE EXPERTO NEGRO 1/8 G SUPER;1067;PINTURAS Y DISOLVENTES;304
ESMALTE EXPERTO ROJO 1 GALON SUPER;1073;PINTURAS Y DISOLVENTES;310
ESMALTE EXPERTO ROJO 1/2 G SUPER;1069;PINTURAS Y DISOLVENTES;310
ESMALTE EXPERTO ROJO 1/32 G SUPER;1070;PINTURAS Y DISOLVENTES;310
ESMALTE EXPERTO ROJO 1/4 G SUPER;1071;PINTURAS Y DISOLVENTES;310
ESMALTE EXPERTO ROJO 1/8 G SUPER;1072;PINTURAS Y DISOLVENTES;310
ESMALTE EXPERTO TABACO 1 GALON SUPER;1078;PINTURAS Y DISOLVENTES;318
ESMALTE EXPERTO TABACO 1/2 G SUPER;1074;PINTURAS Y DISOLVENTES;318
ESMALTE EXPERTO TABACO 1/32 G SUPER;1075;PINTURAS Y DISOLVENTES;318
ESMALTE EXPERTO TABACO 1/4 G SUPER;1076;PINTURAS Y DISOLVENTES;318
ESMALTE EXPERTO TABACO 1/8 G SUPER;1077;PINTURAS Y DISOLVENTES;318
ESMALTE EXPERTO VERDE PINO 1 GALON SUPER;1083;PINTURAS Y DISOLVENTES;314
ESMALTE EXPERTO VERDE PINO 1/2 G SUPER;1079;PINTURAS Y DISOLVENTES;314
ESMALTE EXPERTO VERDE PINO 1/32 G SUPER;1080;PINTURAS Y DISOLVENTES;314
ESMALTE EXPERTO VERDE PINO 1/4 G SUPER;1081;PINTURAS Y DISOLVENTES;314
ESMALTE EXPERTO VERDE PINO 1/8 G SUPER;1082;PINTURAS Y DISOLVENTES;314
ESMALTE DOMESTICO BLANCO 1 G PINTUCO;1088;PINTURAS Y DISOLVENTES;10344737
ESMALTE DOMESTICO BLANCO 1/2 G PINTUCO;1084;PINTURAS Y DISOLVENTES;10344737
ESMALTE DOMESTICO BLANCO 1/32 G PINTUCO;1085;PINTURAS Y DISOLVENTES;10344737
ESMALTE DOMESTICO BLANCO 1/4 G PINTUCO;1086;PINTURAS Y DISOLVENTES;10344737
ESMALTE DOMESTICO BLANCO 1/8 G PINTUCO;1087;PINTURAS Y DISOLVENTES;10344737
ESMALTE ICOMAX CAOBA 1 GALON PINTUCO;3433;PINTURAS Y DISOLVENTES;100137392
ESMALTE ICOMAX CAOBA 1/2 G PINTUCO;2422;PINTURAS Y DISOLVENTES;100137392
ESMALTE ICOMAX CAOBA 1/32 G PINTUCO;2442;PINTURAS Y DISOLVENTES;100137392
ESMALTE ICOMAX CAOBA 1/4 G PINTUCO;2458;PINTURAS Y DISOLVENTES;100137392
ESMALTE ICOMAX CAOBA 1/8 G PINTUCO;2813;PINTURAS Y DISOLVENTES;100137392
ESMALTE DOMESTICO NEGRO 12227 1 GALON PINTUCO;1093;PINTURAS Y DISOLVENTES;10344725
ESMALTE DOMESTICO NEGRO 12227 1/2 G PINTUCO;1089;PINTURAS Y DISOLVENTES;10344725
ESMALTE DOMESTICO NEGRO 12227 1/32 G PINTUCO;1090;PINTURAS Y DISOLVENTES;10344725
ESMALTE DOMESTICO NEGRO 12227 1/4 G PINTUCO;1091;PINTURAS Y DISOLVENTES;10344725
ESMALTE DOMESTICO NEGRO 12227 1/8 G PINTUCO;1092;PINTURAS Y DISOLVENTES;10344725
ESMALTE INDUSTRIAL NEGRO MATE 1 GALON SUPER;1103;PINTURAS Y DISOLVENTES;113
ESMALTE INDUSTRIAL NEGRO MATE 1/2 G SUPER;1099;PINTURAS Y DISOLVENTES;113
ESMALTE INDUSTRIAL NEGRO MATE 1/32 G SUPER;1100;PINTURAS Y DISOLVENTES;113
ESMALTE INDUSTRIAL NEGRO MATE 1/4 G SUPER;1101;PINTURAS Y DISOLVENTES;113
ESMALTE INDUSTRIAL NEGRO MATE 1/8 G SUPER;1102;PINTURAS Y DISOLVENTES;113
ESMALTE INDUSTRIAL VERDE PRIMAVERAL 1 GALON SUPER;1110;PINTURAS Y DISOLVENTES;231
ESMALTE INDUSTRIAL VERDE PRIMAVERAL 1/2 G SUPER;1106;PINTURAS Y DISOLVENTES;231
ESMALTE INDUSTRIAL VERDE PRIMAVERAL 1/32 G SUPER;1107;PINTURAS Y DISOLVENTES;231
ESMALTE INDUSTRIAL VERDE PRIMAVERAL 1/4 G SUPER;1108;PINTURAS Y DISOLVENTES;231
ESMALTE INDUSTRIAL VERDE PRIMAVERAL 1/8 G SUPER;1109;PINTURAS Y DISOLVENTES;231
ESMALTE INDUSTRIAL WENGUE 1 GALON SUPER;1098;PINTURAS Y DISOLVENTES;240
ESMALTE INDUSTRIAL WENGUE 1/2 G SUPER;1094;PINTURAS Y DISOLVENTES;240
ESMALTE INDUSTRIAL WENGUE 1/32 G SUPER;1095;PINTURAS Y DISOLVENTES;240
ESMALTE INDUSTRIAL WENGUE 1/4 G SUPER;1096;PINTURAS Y DISOLVENTES;240
ESMALTE INDUSTRIAL WENGUE 1/8 G SUPER;1097;PINTURAS Y DISOLVENTES;240
ESMALTE PINTULUX 3 EN 1 BLANCO 1 GALON PINTUCO;1105;PINTURAS Y DISOLVENTES;11402 30%
ESMALTE PINTULUX 3 EN 1 BLANCO PINTUCO 1/4;1104;PINTURAS Y DISOLVENTES;11102
"ESMERIL DE BANCO DE 5"" DE 1/16 HP PRETUL";3588;HERRAMIENTA ELECTRICA;29994
ESMERILADOR DE VALVULAS 75GR SINTECO;1111;LUBRICANTES;2655
"ESPATULA GERMANY ACERO INOX 3""GOYA";3195;HERRAMIENTA MANUAL;1473
"ESPATULA PLASTICA 2"" TRUPER";1112;HERRAMIENTA MANUAL;14443
ESPATULA PLASTICA GRANDE PORRAS;1113;HERRAMIENTA MANUAL;
ESPATULA PLASTICA PEQUEï¿½A PORRAS;1114;HERRAMIENTA MANUAL;
"ESPATULA PREMIER L.E 1"" GOYA";1115;HERRAMIENTA MANUAL;1463
"ESPATULA PREMIER L.E 11/2"" GOYA";1116;HERRAMIENTA MANUAL;1464
"ESPATULA PREMIER L.E 2"" GOYA";1117;HERRAMIENTA MANUAL;1465
"ESPATULA PREMIER L.E 21/2"" GOYA";1118;HERRAMIENTA MANUAL;1466
"ESPATULA PREMIER L.E 3"" GOYA";1119;HERRAMIENTA MANUAL;1467
"ESPATULA PREMIER L.E 4"" GOYA";1120;HERRAMIENTA MANUAL;1468
"ESPATULA PREMIER L.E 5"" GOYA";1121;HERRAMIENTA MANUAL;1469
"ESPATULA PREMIER L.E 6"" GOYA";1122;HERRAMIENTA MANUAL;1470
"ESPATULA TAPIZADORA 8"" TRUPER";1123;HERRAMIENTA MANUAL;14459
ESPEJO TESCOPICO DE INSPECCION TRUPER;3343;HERRAMIENTA MANUAL;14544
ESPONJA EN ALAMBRE MATRIX;3613;HOGAR Y COCINA;
ESPUMA EXPANSIVA 500ML CORNETA;1562;PINTURAS Y DISOLVENTES;44912
ESQUINERO PLASTICO BLANCO 2.3MT;1124;PERFILES Y WINES;ESB23
ESQUINERO PLASTICO CAFï¿½ 2.3MT;1125;PERFILES Y WINES;ESC23
ESTAï¿½O 100 GR CARRETE;1126;ELECTRICOS;
ESTAï¿½O BOLSITA;1127;ELECTRICOS;
SOLDADURA DE ESTAï¿½O TUBO;1128;ELECTRICOS;
ESTARTER UN;1129;ELECTRICOS;
ESTUCO PLASTICO 1/2G MAXI;1130;CONSTRUCCION;
ESTUCO PLASTICO 1/4G MAXI;1131;CONSTRUCCION;
ESTUCO PLASTICO 1/8G MAXI;1132;CONSTRUCCION;
ESTUCO PLASTICO 1G MAXI;1133;CONSTRUCCION;
ESTUCO PLASTICO BALDE 2.5G MAXI;1134;CONSTRUCCION;
ESTUCO PLASTICO CANECA 5G MAXI;1135;CONSTRUCCION;30%
ESTUCOMASTIC BLANCO 15 BALDE KGPINTUCO;3409;CONSTRUCCION;10388386
ESTUCOMASTIC BLANCO 1G 5K PINTUCO;1136;CONSTRUCCION;10359542
ESTUCOMASTIC BLANCO CANECA 27K PINTUCO;1137;CONSTRUCCION;10359541
EXTENSION 8 MTS 25ft DUPLEX OSBLACK/TITANIUM;1146;ELECTRICOS;
EXTENSION CON POLO 10MT;1138;ELECTRICOS;4042
EXTENSION CON POLO 2MT;1139;ELECTRICOS;3131
EXTENSION CON POLO 3MT;1140;ELECTRICOS;1988
EXTENSION CON POLO 5MT;1141;ELECTRICOS;
EXTENSION CON POLO 8MT;1142;ELECTRICOS;2555
EXTENSION FIBRA DE VIDRIO AMARILLA 1.80 - 3.60 MT;1147;HERRAMIENTA MANUAL;10369224
"EXTENSION PARA RACHET 5"" MANDO 1/2 TRUPER";1143;HERRAMIENTA MANUAL;13416  Fabricada en acero al cromo vanadio.Acabado pulido espejo resistente a la oxidaciï¿½n y de fï¿½cil limpieza.Medida marcada para fï¿½cil identificaciï¿½n.
"EXTENSION RATCHET 3/8 X 8"" TRUPER";3312;HERRAMIENTA MANUAL;13665
EXTENSOR DE ACERO PARA RODILLO 2M;1148;HERRAMIENTA MANUAL;10548
"FIBRO DISCO 41/2"" N 100";1149;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 41/2"" N 120";1150;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 41/2"" N 150";1151;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 41/2"" N 180";1152;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 41/2"" N 220";1153;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 41/2"" N 24";3284;ABRASIVOS Y CONSUMIBLES;THRO18D
"FIBRO DISCO 41/2"" N 320";1154;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 41/2"" N 36";3285;ABRASIVOS Y CONSUMIBLES;THRO18U
"FIBRO DISCO 41/2"" N 400";1155;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 41/2"" N 60";3286;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 41/2"" N 80";1156;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 7"" N 100";1157;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 7"" N 120";1158;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 7"" N 24";1159;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 7"" N 36";1160;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 7"" N 60";1161;ABRASIVOS Y CONSUMIBLES;
"FIBRO DISCO 7"" N 80";1162;ABRASIVOS Y CONSUMIBLES;
FIFTIN PARA ACOPLE RAPIDO;1163;PARTES Y REPUESTOS;
FIJATORNILLO FUERZA ALTA 10G UNIFIX;1164;PEGANTES;42501
FILTRO ESTANDAR LAVAMANOS USA;1165;GRIFERIA;
FILTRO GRIFERIA PLASTICO HEMBRA BOCHERINI;1166;GRIFERIA;5031
FILTRO GRIFERIA PLASTICO MACHO BOCHERINI;1167;GRIFERIA;5032
FILTRO LAVAPLATOS BORDE ANCHO;1168;GRIFERIA;
