Nombre;Referencia;Categoria;Descripcion
"TUBO CONDUIT SEMIPESADO 1/2""";2811;TUBERIAS Y ACCESORIOS;3073
"TUERCA HEX RO 1/2"" UN";2919;TORNILLERIA;
"TUERCA HEX RO 1/4"" DOC";2921D;TORNILLERIA;
"TUERCA HEX RO 1/4"" UN";2921;TORNILLERIA;
"TUERCA HEX RO 3/16"" UN";2926;TORNILLERIA;
"TUERCA HEX RO 3/8"" DOC";2929D;TORNILLERIA;
"TUERCA HEX RO 3/8"" UN";2929;TORNILLERIA;
"TUERCA HEX RO 5/32"" UN";2934;TORNILLERIA;
"TUERCA HEX RO 7/16"" DOC";2936D;TORNILLERIA;
"TUERCA HEX RO 7/16"" UN";2936;TORNILLERIA;
UNION 1/2 COBRE;2947;TUBERIAS Y ACCESORIOS;1
"UNION SANITARIO 11/2""";2975;TUBERIAS Y ACCESORIOS;1141
"VALVULA BOLA PVC 1"" SOLDAR GRIVAL";3001;TUBERIAS Y ACCESORIOS;99861
VIDRIO PARA CARETA NO 11;3046;ABRASIVOS Y CONSUMIBLES;
VIDRIO PARA CARETA NO 12;3047;ABRASIVOS Y CONSUMIBLES;
"VINIPEL-STRETCH 12"" X300MT";3135;PEGANTES;
"VINIPEL-STRETCH 20"" X300MT";3136;PEGANTES;
"VINIPEL-STRETCH 5"" X300MT";3137;PEGANTES;
WIN PLASTICO TRADICIONAL BEIGE 2.2MT;3147;PERFILES Y WINES;WPTBE
BROCA ACERO HSS 5/32 NICHOLSON;3702;ABRASIVOS Y CONSUMIBLES;
BROCA ACERO HSS 3/16 NICHOLSON;3703;ABRASIVOS Y CONSUMIBLES;
PIN CHAVETA 5/32 X 3/4, 1, 11/4 y 11/2;3709;HERRAJES Y SOPORTES;
PIN CHAVETA 1/8X 1, 11/4 y 11/2;3710;HERRAJES Y SOPORTES;
"ABRAZADERA 10-06 TITAN 3/4""";6;HERRAJES Y SOPORTES;10511
"ABRAZADERA 10-08 TITAN 1""";7;HERRAJES Y SOPORTES;
"ABRAZADERA 10-16 TITAN 11/2""";8;HERRAJES Y SOPORTES;
ABRAZADERA NAVIDEï¿½A;3520;ABRASIVOS Y CONSUMIBLES;
