Tipo;"Item inventariable";"Item con variantes";"Venta en negativo";Nombre;"Codigo del producto o servicio";Referencia;"Unidad de medida";Categoria;Descripcion;"Costo inicial";"Precio base";Impuesto;"Precio total";"Precio: General";"Precio: Lista General 2023";"Codigo cuenta contable";"Cuenta contable";"Codigo cuenta de inventario";"Cuenta de inventario";"Codigo cuenta de costo de venta";"Cuenta de costo de venta";"Codigo de barras2";"codigo de barras 3";"Codigo de barras"
Producto;Si;No;Si;"PINCEL N 12 PLANO";;3473;Unidad;"PINTURAS Y DISOLVENTES";153;1733,000000;2521,000000;19.00;3000;2521,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305801
Producto;Si;No;Si;"PINCEL N 12 REDONDO";;3485;Unidad;"PINTURAS Y DISOLVENTES";145;1733,000000;2521,000000;19.00;3000;2521,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305802
Producto;Si;No;Si;"PINCEL N 2 REDONDO";;3475;Unidad;"PINTURAS Y DISOLVENTES";145;440,000000;1261,000000;19.00;1501;1261,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305803
Producto;Si;No;Si;"PINCEL N 3 PLANO";;3464;Unidad;"PINTURAS Y DISOLVENTES";145;490,000000;1261,000000;19.00;1501;1261,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305804
Producto;Si;No;Si;"PINCEL N 3 REDONDO";;3476;Unidad;"PINTURAS Y DISOLVENTES";145;490,000000;1261,000000;19.00;1501;1261,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305805
Producto;Si;No;Si;"PINCEL N 4 PLANO";;3465;Unidad;"PINTURAS Y DISOLVENTES";145;570,000000;1261,000000;19.00;1501;1261,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305806
Producto;Si;No;Si;"PINCEL N 4 REDONDO";;3477;Unidad;"PINTURAS Y DISOLVENTES";145;570,000000;1261,000000;19.00;1501;1261,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305807
Producto;Si;No;Si;"PINCEL N 5 PLANO";;3466;Unidad;"PINTURAS Y DISOLVENTES";145;690,000000;1261,000000;19.00;1501;1261,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305808
Producto;Si;No;Si;"PINCEL N 5 REDONDO";;3478;Unidad;"PINTURAS Y DISOLVENTES";145;690,000000;1261,000000;19.00;1501;1261,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305809
Producto;Si;No;Si;"PINCEL N 6 PLANO";;3467;Unidad;"PINTURAS Y DISOLVENTES";145;820,000000;1681,000000;19.00;2000;1681,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305810
Producto;Si;No;Si;"PINCEL N 6 REDONDO";;3479;Unidad;"PINTURAS Y DISOLVENTES";145;820,000000;1681,000000;19.00;2000;1681,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305811
Producto;Si;No;Si;"PINCEL N 7 PLANO";;3468;Unidad;"PINTURAS Y DISOLVENTES";145;870,000000;1681,000000;19.00;2000;1681,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305812
Producto;Si;No;Si;"PINCEL N 7 REDONDO";;3480;Unidad;"PINTURAS Y DISOLVENTES";145;870,000000;1681,000000;19.00;2000;1681,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305813
Producto;Si;No;Si;"PINCEL N 8 PLANO";;3469;Unidad;"PINTURAS Y DISOLVENTES";153;1100,000000;2101,000000;19.00;2500;2101,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305814
Producto;Si;No;Si;"PINCEL N 8 REDONDO";;3481;Unidad;"PINTURAS Y DISOLVENTES";145;1100,000000;2101,000000;19.00;2500;2101,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305815
Producto;Si;No;Si;"PINCEL N 9 PLANO";;3470;Unidad;"PINTURAS Y DISOLVENTES";153;1150,000000;2101,000000;19.00;2500;2101,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305816
Producto;Si;No;Si;"PINCEL N 9 REDONDO";;3482;Unidad;"PINTURAS Y DISOLVENTES";145;1150,000000;2101,000000;19.00;2500;2101,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305817
Producto;Si;No;Si;"PINTUCO FILL 7 ANTIHONGOS GRIS 2753 1/2G";;1815;Unidad;CONSTRUCCION;103844441;23928,000000;33613,000000;19.00;39999;33613,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305818
Producto;Si;No;Si;"PINTUCO FILL 7 ANTIHONGOS GRIS 2753 1/32";;1816;Unidad;CONSTRUCCION;103844441;2433,000000;4202,000000;19.00;5000;4202,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305819
Producto;Si;No;Si;"PINTUCO FILL 7 ANTIHONGOS GRIS 2753 1/4G";;1817;Unidad;CONSTRUCCION;103844441;12464,000000;20168,000000;19.00;24000;20168,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305820
Producto;Si;No;Si;"PINTUCO FILL 7 ANTIHONGOS GRIS 2753 1/8G";;1818;Unidad;CONSTRUCCION;103844441;6732,000000;11765,000000;19.00;14000;11765,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305821
Producto;Si;No;Si;"PINTUCO FILL 7 ANTIHONGOS GRIS 2753 11 KG BALDE";;1819;Unidad;CONSTRUCCION;103844441;114640,000000;138656,000000;19.00;165001;138656,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305822
Producto;Si;No;Si;"PINTUCO FILL 7 ANTIHONGOS GRIS 2753 1G";;1820;Unidad;CONSTRUCCION;103844441;45856,000000;68908,000000;19.00;82001;68908,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305823
Producto;Si;No;Si;"PINTUCO FILL 7 ANTIHONGOS GRIS 2753 20 KG CANECA";;3570;Unidad;CONSTRUCCION;FYB25;152067,000000;183193,000000;19.00;218000;183193,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7704488228262
Producto;Si;No;Si;"PINTURA EN SPRAY TRANSPARENTE BRILLANTE 400ML PINTE";;3505;Unidad;"PINTURAS Y DISOLVENTES";8847;5097,000000;8824,000000;19.00;10501;8824,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305824
Producto;Si;No;Si;"PINTURA ACRILICA ALTA ASCEPSIA 1 GALON PINTUCO";;1821;Unidad;"PINTURAS Y DISOLVENTES";10012970;64222,000000;83613,000000;19.00;99499;83613,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305825
