Nombre;CategorÃ­a;Definicion;Caracteristicas
"NIPLE GALVANIZADO KAUDAL 1/2 X3""";TUBERIAS Y ACCESORIOS;;
"NIPLE GALVANIZADO KAUDAL 3/4X1""";GRIFERIA;;
ORRING 006;PARTES Y REPUESTOS;;
ORRING 007;PARTES Y REPUESTOS;;
ORRING 008;PARTES Y REPUESTOS;;
ORRING 009;PARTES Y REPUESTOS;;
PASADOR ALEMAN  21/2;CERRAJERIA Y SEGURIDAD;;
PASADOR ALEMAN 3;CERRAJERIA Y SEGURIDAD;;
PEGACOR GRIS MEGAPEGA X25K CORONA;CONSTRUCCION;;
PEGANTE BOXER UNIVERSAL BOTELLA GYD;PEGANTES;;
PIEDRA MOTORTOOL GRANDE UN;PARTES Y REPUESTOS;;
PIEDRA MOTORTOOL PEQUEÃ¯Â¿Â½A UN;PARTES Y REPUESTOS;;
PIEDRA REPUESTO ENCENDEDOR CHISPERO PAQ X 5;HERRAMIENTA MANUAL;;
PILA 9V GP;ELECTRICOS;;
PINTURA EN SPRAY NEGRO BRILLANTE 400ML PINTE;PINTURAS Y DISOLVENTES;;
PISTOLA CALEFATEO ESQUELETO REF TRUPER;HERRAMIENTA MANUAL;Marca MG DEMAX, Modelo 83817 ;Pistola calafateo tipo esqueleto 9 PulgadasReferencia: 83817  - Diseñada para obtener mayor precisión al momento de utilizar selladores - 9 Pulgadas- Tipo esqueletoGarantía del vendedor: 2 meses.
PULSADOR TIMBRE SENCILLO S/PONER DUOMO AVE;ELECTRICOS;;
PUNTA PHILIPS N2 STANLEY;HERRAMIENTA MANUAL;;
"PUNTILLA CON CABEZA  1"" UN";TORNILLERIA;;
PUNTILLA CON CABEZA 2 X 400 GM;TORNILLERIA;;
RAFIA MILENIO 3 MM (1000) 1M;SOGAS Y CADENAS;;
"REMACHADORA PROFESIONAL 10"" TRUPER";HERRAMIENTA MANUAL;;
REMACHE POP 6-6 3/16 X 1/2 CAJA;TORNILLERIA;;
"RODILLO HILO BRICOLAGE 9"" GOYA";PINTURAS Y DISOLVENTES;;
"RODILLO JUNIOR POLIESTER TH 2"" GOYA";PINTURAS Y DISOLVENTES;;
"RODILLO JUNIOR POLIESTER TH 3"" GOYA";PINTURAS Y DISOLVENTES;;
"RODILLO JUNIOR POLIESTER TH 4"" GOYA";PINTURAS Y DISOLVENTES;;
"RODILLO JUNIOR POLIESTER TH 5"" GOYA";PINTURAS Y DISOLVENTES;;
SILICONA SUPERFLEX ROJA 50ML LOCTITE;PEGANTES;;
SILICONA EN TUBO TRANSPARENTE UNIFER;PEGANTES;;
SOLDADURA 6013 1/8 1/2 K WEST ARCO;ABRASIVOS Y CONSUMIBLES;;
"SOLDADURA ELECTRICA 6013 1/8"" 1K TRUPER";ABRASIVOS Y CONSUMIBLES;;
"SOLDADURA ELECTRICA 6013 3/32"" 1K 50V TRUPER";ABRASIVOS Y CONSUMIBLES;;
SOLDADURA PVC 1/128 ENAR;PEGANTES;;
SOQUET T8 UN;ELECTRICOS;;
SOSCO EXTENSION LAVAMANOS;GRIFERIA;;
SUPER BONDER 3 GRAMOS LOCTITE;PEGANTES;;
SUPER PEGA INTANTANEO 20G;PEGANTES;;
TAPON OIDO REUTILIZABLE TRIPLE BARRERA TRUPER;DOTACION INDUSTRIAL;;
TESTER CON CAIMAN TIPO ESFERO TRUPER;ELECTRICOS;;
THINNER EXTRAFINO 1 BOTELLA 750CC;PINTURAS Y DISOLVENTES;;
TIJERA PARA HOJALATERO PRETUL;HERRAMIENTA MANUAL;;
TINTE WENGUE 200 CC SUPER;PINTURAS Y DISOLVENTES;;
TOALLITAS  COLORES BORDADA;ASEO;;
TOMA AEREA INDUSTRIAL 15 AMP  KONTIKI;ELECTRICOS;;
TOMA DOBLE BLANCA MERCURY;ELECTRICOS;;
TOMA DOBLE P/T BLANCA DUOMO AVE;ELECTRICOS;;
TOMA SOBREPONER MULTIPLE 2-6 LITEWAY;ELECTRICOS;;
"TORNILLO CR RO ZINC 3/16X1/2""UN";TORNILLERIA;;
"TORNILLO CR RO ZINC 5/32X1""UN";TORNILLERIA;;
"TORNILLO CR RO ZINC 5/32X21/2""UN";TORNILLERIA;;
"TORNILLO DRYWALL 6X2"" UN";TORNILLERIA;;
"TORNILLO DRYWALL 6X21/2"" UN";TORNILLERIA;;
"TORNILLO HEX RO ZINC 1/2X2""UN";TORNILLERIA;;
"TORNILLO HEX RO ZINC 1/4X1""UN";TORNILLERIA;;
"TORNILLO HEX RO ZINC 1/4X11/2""UN";TORNILLERIA;;
"TORNILLO HEX RO ZINC 3/8X1""UN";TORNILLERIA;;
"TORNILLO HEX RO ZINC 5/16X11/4""UN";TORNILLERIA;;
"TORNILLO HEX RO ZINC 5/16X31/2""UN";TORNILLERIA;;
"TORNILLO HEX RO ZINC 7/16X11/2""UN";TORNILLERIA;;
"TORNILLO HEX RO ZINC 7/16X2""UN";TORNILLERIA;;
"TORNILLO KLATH P/AGUDA 8X1/2""50";TORNILLERIA;;
"TORNILLO KLATH P/BROCA 8X1/2""DOC";TORNILLERIA;;
"TORNILLO LAMINA 14X11/4"" UN";TORNILLERIA;;
"TORNILLO LAMINA 6X1"" 50";TORNILLERIA;;
"TORNILLO LAMINA 6X1"" UN";TORNILLERIA;;
"TORNILLO LAMINA 8X11/4"" UN";TORNILLERIA;;
"TUBO CONDUIT SEMIPESADO 1/2""";TUBERIAS Y ACCESORIOS;;
"TUERCA HEX RO 1/2"" UN";TORNILLERIA;;
"TUERCA HEX RO 1/4"" DOC";TORNILLERIA;;
"TUERCA HEX RO 1/4"" UN";TORNILLERIA;;
"TUERCA HEX RO 3/16"" UN";TORNILLERIA;;
"TUERCA HEX RO 3/8"" DOC";TORNILLERIA;;
"TUERCA HEX RO 3/8"" UN";TORNILLERIA;;
"TUERCA HEX RO 5/32"" UN";TORNILLERIA;;
"TUERCA HEX RO 7/16"" DOC";TORNILLERIA;;
"TUERCA HEX RO 7/16"" UN";TORNILLERIA;;
UNION 1/2 COBRE;TUBERIAS Y ACCESORIOS;;
"UNION SANITARIO 11/2""";TUBERIAS Y ACCESORIOS;;
"VALVULA BOLA PVC 1"" SOLDAR GRIVAL";TUBERIAS Y ACCESORIOS;;
VIDRIO PARA CARETA NO 11;ABRASIVOS Y CONSUMIBLES;;
VIDRIO PARA CARETA NO 12;ABRASIVOS Y CONSUMIBLES;;
"VINIPEL-STRETCH 12"" X300MT";PEGANTES;;
"VINIPEL-STRETCH 20"" X300MT";PEGANTES;;
"VINIPEL-STRETCH 5"" X300MT";PEGANTES;;
WIN PLASTICO TRADICIONAL BEIGE 2.2MT;PERFILES Y WINES;;
BROCA ACERO HSS 5/32 NICHOLSON;ABRASIVOS Y CONSUMIBLES;;
BROCA ACERO HSS 3/16 NICHOLSON;ABRASIVOS Y CONSUMIBLES;;
PIN CHAVETA 5/32 X 3/4, 1, 11/4 y 11/2;HERRAJES Y SOPORTES;;
PIN CHAVETA 1/8X 1, 11/4 y 11/2;HERRAJES Y SOPORTES;;
"ABRAZADERA 10-06 TITAN 3/4""";HERRAJES Y SOPORTES;;
"ABRAZADERA 10-08 TITAN 1""";HERRAJES Y SOPORTES;;
"ABRAZADERA 10-16 TITAN 11/2""";HERRAJES Y SOPORTES;;
ABRAZADERA NAVIDEÃ¯Â¿Â½A;ABRASIVOS Y CONSUMIBLES;;
