Nombre;Referencia;Categoría;Descripción;Marca
FUMIGADOR 3L (0.8GAL) TRUPER;3597;HERRAMIENTA MANUAL;10835;TRUPER 10835
FUMIGADOR DOMESTICO 2 LTS TRUPER;3601;HERRAMIENTA MANUAL;10235;TRUPER 10235
GAFAS PARA SOLDAR TRUPER;1210;DOTACION INDUSTRIAL;14282;TRUPER 14282
SET 4 PIEZAS DE GANCHOS MULTIUSOS TRUPER;3341;HERRAMIENTA MANUAL;14210;TRUPER 14210
GRAPA COSEDORA PARA ET-21 5/16 TRUPER;3204;HERRAJES Y SOPORTES;17971;TRUPER 17971
GRASA MULTIUSO 450G TRUPER;1255;LUBRICANTES;12783;TRUPER 12783
"GRATA CIRCULAR ALAMBRE FINO 2"" TALADRO TRUPER";1256;ABRASIVOS Y CONSUMIBLES;11574;TRUPER 11574
"GRATA CIRCULAR ALAMBRE FINO 3"" TALADRO TRUPER";1257;ABRASIVOS Y CONSUMIBLES;11575;TRUPER 11575
"GRATA COPA ALAMBRE GRUESO 3/4"" TALADRO TRUPER";1258;ABRASIVOS Y CONSUMIBLES;11593;TRUPER 11593
"GRATA COPA ALAMBRE ONDULADO 3""X  5/8 TRUPER";1259;ABRASIVOS Y CONSUMIBLES;14182;TRUPER 14182
"GRATA COPA ALAMBRE ONDULADO 3""X 14 MM TRUPER";1260;HERRAMIENTA MANUAL;14180;TRUPER 14180
"GRATA COPA ALAMBRE ONDULADO 4""X 14 MM TRUPER";1261;HERRAMIENTA MANUAL;11532;TRUPER 11532
"GRATA COPA ALAMBRE TRENZADO 3""X 14 MM TRUPER";1263;HERRAMIENTA MANUAL;14184;TRUPER 14184
"GRATA COPA ALAMBRE TRENZADO 3""X 5/8 TRUPER";1264;HERRAMIENTA MANUAL;14186;TRUPER 14186
"GRATA COPA ALAMBRE TRENZADO 4""X 14 MM TRUPER";1265;HERRAMIENTA MANUAL;14185;TRUPER 14185
"GRATA COPA ALAMBRE TRENZADO 4""X 5/8 TRUPER";1266;HERRAMIENTA MANUAL;14187;TRUPER 14187
"GRATA ESMERIL ALAMBRE ONDULADO 6"" TRUPER";1268;HERRAMIENTA MANUAL;11520;TRUPER 11520
"GRATA PULIDORA ALAMBRE TRENZADO 4"" TRUPER";1269;ABRASIVOS Y CONSUMIBLES;17527;TRUPER 17527
HACHA CAZADORA 11/4LB MANGO HICKORY TRUPER;3591;HERRAMIENTA MANUAL;14950;TRUPER 14950
HILO PARA ALBAï¿½IL AMARILLO 165MT TRUPER;1298;CONSTRUCCION;14052;TRUPER 14052
JUEGO DE 121 PIEZAS MOTORTOOL TRUPER;3598;HERRAMIENTA MANUAL;100757;TRUPER 100757
JUEGO DE 10 LIMAS PARA JOYERO TRUPER;1349;HERRAMIENTA MANUAL;15239;TRUPER 15239
JUEGO DE 3 MINICEPILLOS GRATA TRUPER;1350;HERRAMIENTA MANUAL;10652;TRUPER 10652
